algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params,fold,selected_bands
transformer6,lucas,32,robust,dyn,0.75,0.844214916229248,1.1627287424293657,2.53382672707851,0.8831122057207524,0.844214916229248,30.347219565415916,2.5338266037652533,0.8831121803198793,0.8563971519470215,1.1111382991060543,2.6389533665018603,0.8930815975485656,0.8563970923423767,29.00070926193552,2.6389532868859513,0.8930816585190762,631.6666271686554,18209,0,398|399|400|725|1120|1125|1127|1129|1139|1181|2021|2022|2530|2532|2990|3006|3182|3451|3814|3815|4340
transformer7,lucas,32,robust,dyn,0.75,0.8555847406387329,1.1281858475355866,2.631681523732612,0.8931709038306646,0.8555847406387329,29.44565140591646,2.6316815369507247,0.8931709091610089,0.8507155179977417,1.1299330849372684,2.588248553173477,0.8824650005943423,0.8507155179977417,29.491254124303,2.5882483042204805,0.8824650662934119,640.9394199848175,18209,0,396|397|398|401|403|1069|1107|1108|1112|1114|1121|1123|1319|2021|2022|2112|2113|2116|2976|2994|3188|3456|3458|3459|3818|4309
transformer8,lucas,32,robust,dyn,0.75,0.8065500259399414,1.3269159535840906,2.2738171337808644,0.7500179375371628,0.8065500259399414,34.63250673082931,2.2738170947857936,0.7500179118812439,0.8138299584388733,1.2547010238127645,2.317706217649086,0.7977660236538634,0.8138298988342285,32.74770015183318,2.3177060804362553,0.7977660045200513,641.0402143001556,18145,0,398|399|400|1011|1012|1014|1015|1705|1707|1710|2657|2658|2660|3164|3166|3167|3616|3617|3839|4008|4265
transformer9,lucas,32,robust,dyn,0.75,0.7982739210128784,1.3678734502706016,2.226685205026545,0.7506688167524428,0.7982739210128784,35.70149579160252,2.2266854773060847,0.7506688065255875,0.8059322834014893,1.2766184482897516,2.2700562679908667,0.7780672566930705,0.8059322834014893,33.31974189868992,2.2700562301198204,0.7780673430959902,645.2992677688599,18145,0,380|381|1011|1012|1015|2018|2261|2474|2476|2518|2995|2996|3165|3167|3811|3812
