algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
transformer6,lucas,32,robust,dyn,0.75,0.844214916229248,1.1627287424293655,2.53382672707851,0.8831122057207524,0.844214916229248,30.34721956541592,2.5338266037652533,0.8831121803198793,0.8563971519470215,1.1111382991060543,2.6389533665018603,0.8930815975485656,0.8563970923423767,29.00070926193552,2.638953286885952,0.8930816585190762,631.6666271686554,18209
transformer7,lucas,32,robust,dyn,0.75,0.8555847406387329,1.1281858475355866,2.631681523732612,0.8931709038306646,0.8555847406387329,29.44565140591646,2.6316815369507247,0.8931709091610089,0.8507155179977417,1.1299330849372684,2.588248553173477,0.8824650005943423,0.8507155179977417,29.491254124303,2.5882483042204805,0.8824650662934119,640.9394199848175,18209
transformer8,lucas,32,robust,dyn,0.75,0.8065500259399414,1.3269159535840906,2.2738171337808644,0.7500179375371628,0.8065500259399414,34.63250673082931,2.2738170947857936,0.7500179118812439,0.8138299584388733,1.2547010238127645,2.317706217649086,0.7977660236538634,0.8138298988342285,32.74770015183318,2.317706080436256,0.7977660045200513,641.0402143001556,18145
transformer9,lucas,32,robust,dyn,0.75,0.7982739210128784,1.3678734502706016,2.226685205026545,0.7506688167524428,0.7982739210128784,35.70149579160252,2.2266854773060847,0.7506688065255875,0.8059322834014893,1.2766184482897516,2.2700562679908667,0.7780672566930705,0.8059322834014893,33.31974189868992,2.2700562301198204,0.7780673430959902,645.2992677688599,18145
