algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
transformer21,lucas,32,robust,dyn,0.75,0.8704732656478882,1.0781752533188664,2.7788183874736743,0.906171273340755,0.8704732656478882,28.140374487016537,2.778818690997524,0.9061713095454804,0.8672649264335632,1.062118349531951,2.744861795697146,0.9487292763338248,0.867264986038208,27.721289826917666,2.7448618265809164,0.9487293451573672,846.0031459331512,15953
transformer22,lucas,32,robust,dyn,0.75,0.8592292666435242,1.060221866384618,2.6655308533286863,0.913385068837355,0.8592292666435242,27.671791184232184,2.6655307303581632,0.9133850916120312,0.8680619597434998,1.0792103155924089,2.753139620416249,0.9408042628990227,0.868061900138855,28.16738884656499,2.753139534994979,0.9408042805938568,839.2119927406311,15953
transformer23,lucas,32,robust,dyn,0.75,0.852865993976593,1.133259073564049,2.6072540163259097,0.8655063182247887,0.8528659343719482,29.578063094229982,2.6072537379571936,0.8655062501071977,0.8648806810379028,1.0767746360622843,2.7205365333250087,0.939374058249992,0.8648806810379028,28.10381797836261,2.720536625463259,0.9393741998401964,853.608517408371,16745
