algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params,fold,selected_bands
transformer17,lucas,32,robust,dyn,0.75,0.8657679557800293,1.046172575370321,2.7296803343477127,0.9549496678450221,0.8657679557800293,27.30510326936672,2.729680303363022,0.9549497215120477,0.8667829632759094,1.08102722960133,2.739891551382823,0.9250460789676761,0.8667829036712646,28.214811031148827,2.7398914356952275,0.9250461489890631,642.878476858139,19233,0,393|397|399|400|402|541|632|997|1004|1008|1344|1632|2021|2022|2136|2648|2650|2981|2982|3201|3447|3812|4263
transformer18,lucas,32,robust,dyn,0.75,0.8736298084259033,1.0871019226761836,2.8133094749745915,0.9542402188878732,0.8736297488212585,28.373359800818772,2.8133092715915935,0.9542402081743646,0.8780479431152344,1.010360454031289,2.8636419164376754,0.9783693702065778,0.8780479431152344,26.3704083680932,2.8636418023366006,0.9783693478284234,886.7785756587982,7649,0,386|390|397|398|399|402|407|503|588|778|911|948|956|968|2020|2021|2139|2525|2818|2982|3451|3452|3813|3814|4187
transformer19,lucas,32,robust,dyn,0.75,0.8295282125473022,1.1829878260130389,2.4222200402447074,0.8647498607515479,0.8295282125473022,30.87598148901758,2.4222200566307897,0.8647498630103952,0.8416445851325989,1.1773787890044336,2.5130252901735757,0.8428359475561218,0.8416445851325989,30.729586640844804,2.51302502628639,0.8428359882802144,650.3238174915314,18209,0,407|408|421|518|523|1023|1043|1047|1069|1081|1394|2022|2023|2486|2489|2493|3013|3449|3452|3456|3459|3818|3819|4180
transformer20,lucas,32,robust,dyn,0.75,0.8548950552940369,1.095090698335472,2.625419722801692,0.8886753006828667,0.8548950552940369,28.58186762159326,2.625419962622125,0.8886753609721958,0.8763644099235535,1.0392336596869203,2.844078637146166,0.9733077352433035,0.8763644099235535,27.123999792547075,2.8440784806320876,0.9733078354149264,652.0919709205627,35649,0,413|416|421|425|444|588|949|983|1006|1010|1021|1024|1033|1583|2021|2022|2488|2598|2804|2980|2986|3401|3446|3448|3806|3808|3809|4430
