algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
transformer17,lucas,32,robust,dyn,0.75,0.8657679557800293,1.046172575370321,2.7296803343477127,0.954949667845022,0.8657679557800293,27.30510326936672,2.729680303363022,0.9549497215120476,0.8667829632759094,1.08102722960133,2.739891551382823,0.925046078967676,0.8667829036712646,28.214811031148827,2.7398914356952275,0.9250461489890632,642.878476858139,19233
transformer18,lucas,32,robust,dyn,0.75,0.8736298084259033,1.0871019226761836,2.8133094749745915,0.9542402188878732,0.8736297488212585,28.37335980081877,2.813309271591593,0.9542402081743646,0.8780479431152344,1.010360454031289,2.8636419164376754,0.9783693702065778,0.8780479431152344,26.3704083680932,2.8636418023366006,0.9783693478284234,886.7785756587982,7649
transformer19,lucas,32,robust,dyn,0.75,0.8295282125473022,1.1829878260130389,2.4222200402447074,0.8647498607515479,0.8295282125473022,30.87598148901758,2.4222200566307897,0.8647498630103952,0.8416445851325989,1.1773787890044336,2.513025290173576,0.8428359475561218,0.8416445851325989,30.729586640844804,2.51302502628639,0.8428359882802144,650.3238174915314,18209
transformer20,lucas,32,robust,dyn,0.75,0.8548950552940369,1.095090698335472,2.625419722801692,0.8886753006828667,0.8548950552940369,28.58186762159326,2.625419962622125,0.8886753609721958,0.8763644099235535,1.0392336596869205,2.844078637146166,0.9733077352433036,0.8763644099235535,27.123999792547075,2.844078480632088,0.9733078354149264,652.0919709205627,35649
