algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params,fold,selected_bands
transformer2,lucas,32,robust,dyn,0.75,0.8489811420440674,1.1237589030183641,2.573500623783285,0.9137368715155211,0.8489811420440674,29.33010823409006,2.5735005129048107,0.9137367998496236,0.8579111695289612,1.1120249301805323,2.6529760652748915,0.8923695326703958,0.8579111695289612,29.023849677423158,2.652976129599948,0.8923696137396203,651.0195989608765,19297,0,390|395|396|397|405|787|976|989|996|1021|1046|1378|1567|2020|2021|2022|2134|2509|2649|2652|2985|2986|3444|3448|3810|3817|4175
transformer3,lucas,32,robust,dyn,0.75,0.8445378541946411,1.1009858157242929,2.536457501333255,0.8830469885183407,0.8445378541946411,28.735730154287015,2.5364573953711296,0.883047122117815,0.8564044237136841,1.1298721563550547,2.6390206671944685,0.8952288575386675,0.8564044833183289,29.489663592334562,2.639020856802947,0.8952289822913148,655.2045366764069,19233,0,402|403|407|408|411|412|414|949|957|965|973|997|1331|1381|2022|2023|2132|2524|2529|2983|2987|3447|3450|3454|3811|3814|3815|4199
transformer4,lucas,32,robust,dyn,0.75,0.8611226081848145,1.0793941049480917,2.683639295480323,0.9228961033484093,0.8611226081848145,28.172186978305838,2.683639047131332,0.9228960470843622,0.8750693202018738,1.0421569179182861,2.829298145945645,0.9632247978272989,0.8750693202018738,27.20029444815637,2.8292980772826737,0.9632248248462123,650.4580624103546,19297,0,392|393|396|403|563|948|979|994|995|1000|1036|1093|1407|2022|2023|2447|2482|2493|2555|2584|2813|2972|3203|3404|3420|3451|3818|3819|4038
transformer5,lucas,32,robust,dyn,0.75,0.8674136400222778,1.0456502782088462,2.746568303923832,0.949014396058749,0.8674136400222778,27.291471229222303,2.7465687126722393,0.9490144854538483,0.8673228025436401,1.0769203753882888,2.745460312990062,0.9321314829838054,0.8673228025436401,28.107622669810365,2.7454601463682495,0.932131510043365,659.9774806499481,19233,0,392|395|398|402|408|561|603|992|1001|1008|1026|1034|1058|1623|2020|2021|2530|2632|2657|2977|2980|3199|3439|3446|3448|3808|3812|3814|4197
transformer6,min_lucas,32,robust,dyn,0.75,0.0048792362213134766,3.2914554834022516,1.0116879272163017,0.464138329300288,0.004879117012023926,78.74806855270324,1.0116879531682714,0.46413835804238107,-0.11227309703826904,2.478633459971026,0.9511096304602873,0.3878498060710942,-0.11227309703826904,59.301307064273466,0.951109663442699,0.3878498629004722,1.487637996673584,18209,0,126|252|386|512|638|755|890|1007|1133|1259|1393|1519|1645|1771|1888|2014|2148|2274|2400|2526|2652|2778|2903|3029|3155|3273|3407|3533|3650|3776|3910|4036
transformer7,min_lucas,32,robust,dyn,0.75,-0.008100628852844238,3.2459283412467363,1.00515386075737,0.3064686557052836,-0.00810098648071289,77.65884364381013,1.0051536065935578,0.30646865221905967,-0.06168651580810547,2.454322474077662,0.97350486253649,0.40276114142812713,-0.06168651580810547,58.71966678701545,0.973504897712891,0.40276113460098767,0.023456811904907227,18209,0,126|252|378|512|638|755|881|1007|1133|1259|1393|1519|1645|1771|1896|2022|2148|2274|2392|2517|2643|2778|2903|3029|3155|3273|3407|3533|3650|3785|3910|4036
transformer8,min_lucas,32,robust,dyn,0.75,-0.0069075822830200195,3.0646740728585744,1.005749126576264,0.3491433014481133,-0.006907463073730469,73.32232990365213,1.0057491857268201,0.3491433281301559,0.008951842784881592,2.457381231129228,1.0076017311434806,0.4022598156810944,0.008951961994171143,58.79284715807804,1.007601830657149,0.40225984399582587,0.02400350570678711,18145,0,126|260|386|512|638|755|881|1007|1133|1267|1385|1510|1636|1771|1896|2014|2140|2274|2392|2517|2643|2778|2895|3021|3147|3281|3399|3533|3650|3776|3902|4028
transformer9,min_lucas,32,robust,dyn,0.75,-0.014985084533691406,2.858699197588813,1.001739122595911,0.42766673022191265,-0.014985084533691406,68.39438567738948,1.0017390736634093,0.42766671003258094,-0.019263148307800293,2.577369625520165,0.9935578187543826,0.3754242355271431,-0.019263029098510742,61.663565122946586,0.9935578514273022,0.37542431222913836,0.027927637100219727,18145,0,134|260|386|512|629|755|890|1007|1133|1259|1385|1510|1645|1771|1888|2022|2148|2266|2392|2517|2643|2769|2895|3021|3147|3273|3407|3524|3659|3785|3902|4028
