algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
transformer2,lucas,32,robust,dyn,0.75,0.8489811420440674,1.123758903018364,2.573500623783285,0.9137368715155212,0.8489811420440674,29.33010823409006,2.5735005129048107,0.9137367998496236,0.8579111695289612,1.1120249301805325,2.6529760652748915,0.8923695326703958,0.8579111695289612,29.02384967742316,2.652976129599948,0.8923696137396203,651.0195989608765,19297
transformer3,lucas,32,robust,dyn,0.75,0.8445378541946411,1.1009858157242929,2.536457501333255,0.8830469885183407,0.8445378541946411,28.73573015428701,2.5364573953711296,0.883047122117815,0.8564044237136841,1.129872156355055,2.6390206671944685,0.8952288575386675,0.8564044833183289,29.48966359233456,2.639020856802947,0.8952289822913148,655.2045366764069,19233
transformer4,lucas,32,robust,dyn,0.75,0.8611226081848145,1.0793941049480915,2.683639295480323,0.9228961033484092,0.8611226081848145,28.17218697830584,2.683639047131332,0.9228960470843622,0.8750693202018738,1.042156917918286,2.829298145945645,0.9632247978272988,0.8750693202018738,27.20029444815637,2.8292980772826737,0.9632248248462124,650.4580624103546,19297
transformer5,lucas,32,robust,dyn,0.75,0.8674136400222778,1.0456502782088462,2.746568303923832,0.949014396058749,0.8674136400222778,27.291471229222303,2.74656871267224,0.9490144854538484,0.8673228025436401,1.0769203753882888,2.745460312990062,0.9321314829838054,0.8673228025436401,28.107622669810365,2.745460146368249,0.932131510043365,659.9774806499481,19233
transformer6,min_lucas,32,robust,dyn,0.75,0.0048792362213134,3.291455483402252,1.0116879272163015,0.464138329300288,0.0048791170120239,78.74806855270324,1.0116879531682714,0.464138358042381,-0.112273097038269,2.478633459971026,0.9511096304602872,0.3878498060710942,-0.112273097038269,59.301307064273466,0.951109663442699,0.3878498629004722,1.487637996673584,18209
transformer7,min_lucas,32,robust,dyn,0.75,-0.0081006288528442,3.2459283412467363,1.00515386075737,0.3064686557052836,-0.0081009864807128,77.65884364381013,1.0051536065935578,0.3064686522190596,-0.0616865158081054,2.454322474077662,0.97350486253649,0.4027611414281271,-0.0616865158081054,58.71966678701545,0.973504897712891,0.4027611346009876,0.0234568119049072,18209
transformer8,min_lucas,32,robust,dyn,0.75,-0.00690758228302,3.0646740728585744,1.005749126576264,0.3491433014481133,-0.0069074630737304,73.32232990365213,1.00574918572682,0.3491433281301559,0.0089518427848815,2.457381231129228,1.0076017311434806,0.4022598156810944,0.0089519619941711,58.79284715807804,1.007601830657149,0.4022598439958258,0.0240035057067871,18145
transformer9,min_lucas,32,robust,dyn,0.75,-0.0149850845336914,2.858699197588813,1.001739122595911,0.4276667302219126,-0.0149850845336914,68.39438567738948,1.0017390736634093,0.4276667100325809,-0.0192631483078002,2.577369625520165,0.9935578187543826,0.3754242355271431,-0.0192630290985107,61.663565122946586,0.9935578514273022,0.3754243122291383,0.0279276371002197,18145
