epoch,r2,rmse,rpd,rpiq,train_r2,train_rmse,train_rpd,train_rpiq,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32
0,0.00866,1.00445,0.33768,2.92737,0.00716,2.92357,1.00363,0.34467,126,260,378,503,638,755,890,1007,1133,1259,1385,1510,1645,1762,1888,2014,2140,2274,2400,2526,2652,2769,2895,3021,3155,3273,3407,3533,3659,3785,3910,4036
10,0.03865,1.02,0.3429,2.88276,0.0416,2.87242,1.0215,0.35081,96,266,360,473,618,715,868,966,1097,1223,1353,1497,1657,1734,1875,2045,2141,2258,2396,2548,2679,2766,2863,3028,3123,3287,3428,3517,3661,3801,3935,4039
20,0.09693,1.0524,0.3538,2.794,0.1086,2.77019,1.0592,0.36375,102,288,360,431,575,669,824,920,1052,1180,1315,1462,1649,1723,1865,2073,2123,2218,2361,2561,2661,2751,2822,3063,3081,3323,3442,3483,3679,3803,3945,4044
30,0.21903,1.13168,0.38045,2.59826,0.22585,2.58159,1.13658,0.39033,142,334,377,387,524,617,772,868,1000,1130,1264,1416,1615,1698,1847,2095,2105,2171,2323,2600,2669,2708,2776,3072,3060,3370,3477,3448,3725,3805,3953,4062
40,0.2352,1.14358,0.38445,2.57123,0.24178,2.55488,1.14846,0.39441,193,384,391,382,469,560,714,810,942,1074,1209,1410,1577,1650,1828,2114,2130,2142,2294,2656,2670,2658,2728,3067,3073,3424,3474,3453,3763,3811,3953,4111
50,0.27881,1.17765,0.3959,2.49685,0.28174,2.48666,1.17997,0.40523,251,401,372,380,412,503,656,751,882,1016,1155,1418,1551,1601,1817,2122,2151,2146,2274,2677,2667,2642,2683,3074,3065,3468,3478,3470,3791,3805,3947,4169
60,0.38691,1.27726,0.42939,2.30212,0.38322,2.3043,1.27335,0.4373,307,365,347,349,358,438,591,689,819,958,1122,1420,1568,1602,1829,2133,2175,2271,2661,2672,2666,2642,3066,3072,3479,3486,3467,3815,3794,3935,4207
70,0.51205,1.43171,0.48131,2.05377,0.48936,2.09668,1.39945,0.4806,366,353,367,365,350,371,522,626,770,933,1164,1426,1598,1601,1855,2136,2190,2204,2255,2663,2683,2708,2590,3046,3063,3464,3541,3448,3791,3756,3940,4227
80,0.60267,1.58658,0.53338,1.85329,0.56755,1.92949,1.52071,0.52224,369,359,355,358,361,335,455,568,751,957,1201,1424,1575,1540,1836,2101,2152,2196,2200,2680,2686,2724,2526,2997,3022,3429,3617,3413,3763,3686,3968,4252
90,0.65547,1.70383,0.57279,1.72576,0.62234,1.80311,1.62729,0.55885,331,333,322,324,338,323,390,519,769,1006,1156,1413,1538,1477,1795,2031,2103,2178,2156,2701,2679,2725,2478,2966,2983,3398,3633,3379,3738,3644,3985,4272
100,0.67829,1.76323,0.59276,1.66763,0.65635,1.72002,1.70591,0.58585,318,324,320,321,326,325,342,484,803,1045,1083,1405,1515,1413,1767,1998,2037,2156,2118,2708,2678,2716,2455,2963,2974,3373,3620,3352,3714,3625,3993,4285
110,0.70522,1.842,0.61925,1.59631,0.69211,1.62808,1.80224,0.61893,329,337,338,334,335,324,456,834,1070,1020,1404,1503,1750,2009,2001,2136,2081,2709,2685,2705,2446,2971,2987,3357,3623,3339,3705,3638,3997,4289
120,0.71178,1.86285,0.62625,1.57844,0.70914,1.58241,1.85425,0.63679,350,356,357,351,349,326,432,859,1083,978,1410,1492,1405,1737,2037,2021,2111,2011,2708,2694,2703,2443,2979,2991,3351,3638,3338,3709,3631,3996,4289
130,0.73871,1.95648,0.65773,1.5029,0.72597,1.53593,1.91036,0.65606,363,364,361,338,414,876,1090,967,1409,1478,1403,1721,2034,2038,2077,1968,2708,2704,2706,2444,2993,2983,3353,3643,3344,3718,3633,3983,4283
140,0.73952,1.95955,0.65876,1.50055,0.74357,1.4858,1.97481,0.67819,366,365,363,367,351,401,889,1094,969,1405,1464,1421,1705,2037,2030,2015,1975,2707,2708,2445,3009,2978,3366,3643,3355,3722,3634,3963,4270
150,0.73823,1.9547,0.65713,1.50427,0.75399,1.45529,2.01623,0.69242,368,367,366,369,364,392,898,1093,968,1405,1446,1426,1691,2035,2037,1976,2001,2706,2710,2708,2447,3027,2980,3384,3643,3367,3723,3632,3952,4246
160,0.74722,1.98916,0.66872,1.47822,0.755,1.4523,2.02037,0.69384,373,372,374,388,904,1090,968,1407,1429,1425,1680,2038,2034,1997,2022,2706,2710,2707,2448,3034,2988,3405,3643,3382,3725,3633,3946,4201
170,0.75327,2.01342,0.67687,1.46041,0.76749,1.41479,2.07394,0.71224,374,375,376,386,909,1087,968,1404,1413,1421,1669,2036,2035,2022,2012,2706,2710,2707,2449,3026,2991,3424,3643,3395,3733,3632,3939,4156
180,0.75025,2.00119,0.67276,1.46933,0.75854,1.44177,2.03513,0.69891,375,376,377,385,914,1083,967,1379,1417,1659,2037,2035,2010,2013,2707,2709,2451,3029,2989,3442,3641,3403,3750,3632,3938,4161
190,0.76032,2.04279,0.68675,1.4394,0.77364,1.39596,2.10191,0.72184,376,377,375,385,919,1078,968,1366,1343,1411,1651,2037,2035,2016,2021,2707,2709,2451,3028,2990,3450,3633,3409,3754,3632,3934,4167
200,0.76617,2.06818,0.69528,1.42173,0.76975,1.40789,2.0841,0.71572,378,379,376,377,386,922,1072,969,1361,1330,1405,1646,2037,2035,2013,2018,2706,2709,2707,2454,3029,2994,3450,3632,3413,3755,3934,4171
210,0.76498,2.06293,0.69352,1.42535,0.77297,1.39804,2.09879,0.72077,377,378,376,386,925,1065,969,1358,1325,1409,1642,2037,2035,2016,2020,2706,2709,2707,2457,3029,2993,3447,3634,3417,3759,3632,3937,4172
220,0.77211,2.09499,0.70429,1.40354,0.77441,1.39359,2.10548,0.72307,378,379,377,385,927,1056,969,1356,1321,1408,1636,2037,2035,2013,2022,2706,2709,2707,2459,3027,2993,3448,3632,3422,3759,3934,4172
230,0.76572,2.06621,0.69462,1.42309,0.77737,1.3844,2.11946,0.72787,379,378,380,385,928,1049,968,1354,1319,1403,1629,2037,2035,2015,2018,2707,2709,2463,3027,2996,3446,3631,3430,3762,3632,3932,4172
240,0.77838,2.12438,0.71417,1.38412,0.77905,1.37918,2.12749,0.73062,379,381,380,388,929,1042,969,1351,1317,1421,1620,2037,2036,2017,2024,2707,2709,2466,3028,3003,3441,3632,3440,3765,3934,4172
250,0.77008,2.08569,0.70117,1.4098,0.77755,1.38387,2.12028,0.72815,380,381,379,390,929,1034,968,1348,1314,1434,1608,2037,2036,2014,2016,2707,2710,2470,3027,3003,3448,3632,3447,3770,3930,4170
260,0.77491,2.10796,0.70866,1.3949,0.78599,1.35734,2.16171,0.74238,380,381,379,382,392,930,1026,968,1345,1312,1436,1594,2037,2034,2017,2018,2707,2712,2475,3027,3004,3445,3631,3449,3780,3632,3934,4171
270,0.77615,2.11378,0.71061,1.39106,0.78614,1.35687,2.16247,0.74264,381,380,382,392,929,1018,968,1343,1309,1434,1583,2037,2035,2016,2022,2707,2714,2482,3026,3004,3442,3631,3447,3806,3632,3935,4171
280,0.77982,2.13132,0.71651,1.37961,0.78698,1.35419,2.16675,0.74411,382,381,383,384,393,929,1009,968,1340,1305,1430,1568,2037,2036,2014,2021,2707,2714,2491,3027,3011,3445,3632,3810,3934,4170
290,0.78636,2.16373,0.7274,1.35895,0.78241,1.36867,2.14382,0.73624,382,378,381,383,394,930,1002,970,1337,1302,1427,1551,2037,2017,2018,2707,2714,2708,2499,3027,3009,3447,3631,3801,3632,3934,4169
300,0.78149,2.13944,0.71924,1.37438,0.78722,1.35344,2.16795,0.74452,382,378,383,395,930,991,970,1333,1299,1424,1534,2037,2036,2015,2021,2707,2714,2502,3026,3013,3443,3631,3448,3806,3931,4170
310,0.78688,2.16636,0.72829,1.3573,0.7884,1.34967,2.174,0.7466,383,382,380,381,395,929,980,971,1329,1295,1422,1518,2037,2036,2016,2018,2706,2712,2707,2502,3026,3015,3443,3631,3448,3805,3934,4172
