algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params
transformer11,lucas,32,robust,dyn,0.75,0.8475092649459839,1.1481231466827635,2.5610508777058074,0.8609753439326461,0.8475093245506287,29.966013667113888,2.5610508224514663,0.8609753544020664,0.856964111328125,1.1096776630005352,2.644178432318768,0.9080679973386454,0.856964111328125,28.96258657127221,2.6441786307305444,0.9080680405508856,655.4213993549347,19169
transformer12,lucas,32,robust,dyn,0.75,0.843501091003418,1.1168943967666538,2.528041361178276,0.8919093485588654,0.843501091003418,29.15094279470756,2.528041518936787,0.8919094035174869,0.863885760307312,1.096474279255964,2.7105751547544124,0.9155083758529506,0.863885760307312,28.617977696911733,2.71057552360669,0.9155084625622162,676.477970123291,19201
transformer13,lucas,32,robust,dyn,0.75,0.8442692756652832,1.1315586912380236,2.5342689995005574,0.8828902655198738,0.8442692756652832,29.533681488855336,2.534268903002238,0.8828903596095056,0.8888705968856812,0.986063069903082,2.9998452953306627,1.0180194525131403,0.8888705968856812,25.73624623205932,2.999845315213712,1.018019509399255,679.7296011447906,20225
transformer14,lucas,32,robust,dyn,0.75,0.8346669673919678,1.1499617964162363,2.4595748063752496,0.8762576080984814,0.8346669673919678,30.01400429968588,2.4595747056579262,0.8762575954364009,0.8636420965194702,1.0968983161382646,2.7081529571136347,0.9081685505146,0.8636420965194702,28.62904669130855,2.708152690865608,0.908168556233949,680.9287884235382,19201
transformer15,lucas,32,robust,dyn,0.75,0.8636442422866821,1.0872906823247306,2.708339858923567,0.9161934062557128,0.8636443018913269,28.378284415503124,2.7083401646141736,0.9161935097738374,0.867389976978302,1.0679438199507996,2.746155666880819,0.9435541030414384,0.867389976978302,27.873333663058453,2.7461555482738165,0.9435541351093176,680.7036898136139,20257
transformer16,lucas,32,robust,dyn,0.75,0.8022657632827759,1.29466569532724,2.249048954948384,0.7724001675561812,0.8022657036781311,33.7907757874884,2.2490489397882323,0.7724002092453386,0.8045350909233093,1.301406618379982,2.261928431501373,0.7713433852178747,0.8045350909233093,33.96671236413859,2.26192855127109,0.7713434400734326,673.911821603775,18145
