algorithm,dataset,target_size,scaler_y,mode,train_size,r2,rmse,rpd,rpiq,r2_o,rmse_o,rpd_o,rpiq_o,train_r2,train_rmse,train_rpd,train_rpiq,train_r2_o,train_rmse_o,train_rpd_o,train_rpiq_o,execution_time,params,fold,selected_bands
transformer11,lucas,32,robust,dyn,0.75,0.8475092649459839,1.1481231466827635,2.5610508777058074,0.8609753439326461,0.8475093245506287,29.966013667113888,2.5610508224514663,0.8609753544020664,0.856964111328125,1.1096776630005352,2.644178432318768,0.9080679973386454,0.856964111328125,28.96258657127221,2.6441786307305444,0.9080680405508855,655.4213993549347,19169,0,389|390|391|393|402|936|974|1002|1064|1140|1334|1411|2011|2014|2038|2040|2514|2711|2986|2990|3005|3445|3448|3629|3630|3803|3807|4175
transformer12,lucas,32,robust,dyn,0.75,0.843501091003418,1.1168943967666538,2.5280413611782753,0.8919093485588654,0.843501091003418,29.150942794707557,2.528041518936787,0.8919094035174869,0.863885760307312,1.0964742792559639,2.7105751547544124,0.9155083758529506,0.863885760307312,28.617977696911733,2.71057552360669,0.9155084625622162,676.477970123291,19201,0,385|388|390|783|1381|1384|1392|1393|1394|1401|1405|1426|1443|1501|2027|2028|2346|2358|2378|2816|2818|3463|3464|3816|3817|4004
transformer13,lucas,32,robust,dyn,0.75,0.8442692756652832,1.1315586912380236,2.5342689995005574,0.8828902655198738,0.8442692756652832,29.533681488855336,2.534268903002238,0.8828903596095056,0.8888705968856812,0.9860630699030821,2.9998452953306627,1.0180194525131403,0.8888705968856812,25.73624623205932,2.9998453152137117,1.018019509399255,679.7296011447906,20225,0,23|364|402|410|511|900|1044|1063|1065|1079|1084|1490|1586|1616|1619|2020|2021|2487|2488|2658|2985|3440|3442|3461|3463|3815|3967
transformer14,lucas,32,robust,dyn,0.75,0.8346669673919678,1.1499617964162365,2.4595748063752496,0.8762576080984814,0.8346669673919678,30.01400429968588,2.4595747056579262,0.8762575954364009,0.8636420965194702,1.0968983161382646,2.7081529571136347,0.9081685505145999,0.8636420965194702,28.62904669130855,2.708152690865608,0.908168556233949,680.9287884235382,19201,0,401|402|404|405|407|754|777|1002|1003|1012|1015|1018|1026|1027|1608|2021|2116|2489|2491|2918|2989|3198|3453|3454|3753|3754|3943
transformer15,lucas,32,robust,dyn,0.75,0.8636442422866821,1.0872906823247306,2.708339858923567,0.9161934062557129,0.8636443018913269,28.378284415503124,2.7083401646141736,0.9161935097738374,0.867389976978302,1.0679438199507996,2.746155666880819,0.9435541030414385,0.867389976978302,27.873333663058453,2.7461555482738165,0.9435541351093176,680.7036898136139,20257,0,400|401|402|404|406|408|948|966|968|970|972|1490|1714|1781|1783|2021|2022|2855|2987|3450|3451|3452|3453|3809|3810|3811
transformer16,lucas,32,robust,dyn,0.75,0.8022657632827759,1.29466569532724,2.249048954948384,0.7724001675561812,0.8022657036781311,33.7907757874884,2.2490489397882323,0.7724002092453386,0.8045350909233093,1.301406618379982,2.2619284315013735,0.7713433852178747,0.8045350909233093,33.96671236413859,2.26192855127109,0.7713434400734326,673.911821603775,18145,0,387|388|1041|1043|1046|1047|1431|2012|2013|2160|2247|2465|2988|2989|3176|3177|3178|3179|3180|3182|3183|3813|3814
